Degree,Iteration,OMPTime,VecTime,Auto Vec Time
16,64,7.85414,5.24929,5.24329
16,128,4.72883,1.15592,0.967767
16,256,4.66558,1.19915,0.916984
16,512,4.79069,1.21979,0.909529
16,1024,4.64158,1.12056,0.837915
16,2048,4.57632,1.16521,0.843439
16,4096,0.896,0.825173,0.775041
16,8192,0.849513,0.832501,0.775483
16,16384,0.834245,0.822427,0.750822
16,32768,0.842827,0.847779,0.776031
16,65536,0.846521,0.846441,0.769074
16,131072,0.894748,0.907196,0.822839
16,262144,0.981288,0.994066,0.989221
16,524288,1.1796,1.19378,1.28335
16,1048576,1.55751,1.57876,1.79002
16,2097152,2.35605,2.38521,2.61834
16,4194304,3.8546,3.87119,3.70586
16,8388608,6.96777,6.87605,8.1842
16,16777216,13.0399,12.7219,12.2067
32,64,0.777719,0.735259,0.701025
32,128,0.74117,0.71604,0.716151
32,256,0.736279,0.726249,0.695749
32,512,0.761127,0.715546,0.704915
32,1024,0.763281,0.712601,0.708141
32,2048,0.756403,0.71595,0.690125
32,4096,0.759469,0.740833,0.690508
32,8192,0.758142,0.761638,0.731581
32,16384,0.762273,0.771562,0.710079
32,32768,0.805792,0.788999,0.733751
32,65536,0.839101,2.09105,3.49226
32,131072,0.960154,0.961565,0.912377
32,262144,1.12834,1.14855,1.13464
32,524288,1.46695,1.54287,1.56051
32,1048576,2.17291,2.33168,2.40049
32,2097152,3.62226,3.94304,3.91396
32,4194304,6.47981,7.15275,7.33657
32,8388608,12.1942,13.6167,13.9477
32,16777216,23.6969,26.4739,27.1626
64,64,1.2759,0.746372,0.679866
64,128,0.78999,0.670179,0.649084
64,256,0.75231,0.68614,0.652075
64,512,0.742154,0.685292,0.655196
64,1024,0.735405,0.692463,0.643393
64,2048,0.7439,0.713377,0.652616
64,4096,0.75012,0.722996,0.66006
64,8192,0.751586,0.7551,0.674044
64,16384,0.782493,0.762171,0.703446
64,32768,0.819483,0.819362,0.747585
64,65536,0.904064,0.919151,0.860773
64,131072,1.07677,1.10015,1.00217
64,262144,1.42621,1.49555,1.35279
64,524288,2.11035,2.27572,2.11545
64,1048576,3.44464,3.84499,3.58211
64,2097152,6.17408,6.9146,5.95696
64,4194304,11.6074,13.1802,10.9269
64,8388608,22.6128,25.7442,24.6324
64,16777216,44.4628,50.739,57.2096
128,64,1.03408,0.707444,0.669342
128,128,0.738513,0.680785,0.67521
128,256,0.719751,0.676775,0.675808
128,512,0.72808,0.690926,0.674841
128,1024,0.72649,0.697803,0.695645
128,2048,0.729398,0.730549,0.680347
128,4096,0.744442,0.733582,0.682076
128,8192,0.762761,0.766059,0.702509
128,16384,0.80346,0.814207,0.748617
128,32768,0.896668,0.922543,0.852456
128,65536,1.05487,1.12709,0.997909
128,131072,1.39836,1.5543,1.57166
128,262144,2.06571,2.29923,2.00469
128,524288,4.24055,3.9454,3.9475
128,1048576,6.09798,7.11094,5.95943
128,2097152,11.7974,13.4299,11.5757
128,4194304,22.1135,26.2382,23.6498
128,8388608,43.5233,53.7343,62.2361
128,16777216,88.4043,105.981,108.254
256,64,0.730753,0.675248,0.673888
256,128,0.718457,0.659966,0.670889
256,256,0.723786,0.685098,0.667867
256,512,0.716956,0.692397,0.661684
256,1024,0.730036,0.714661,0.661327
256,2048,0.753948,0.732129,0.676019
256,4096,0.76429,0.757032,0.698205
256,8192,0.81765,0.81299,0.765421
256,16384,0.887964,0.909865,0.82818
256,32768,1.07243,1.10767,0.979595
256,65536,1.39923,1.5214,1.31881
256,131072,2.07115,2.2647,1.90993
256,262144,3.45235,3.83441,3.25735
256,524288,6.30083,7.05713,6.12671
256,1048576,11.5377,13.7244,13.8038
256,2097152,22.4191,26.0409,22.4492
256,4194304,43.9722,50.6258,39.4345
256,8388608,87.3568,100.834,90.4155
256,16777216,173.131,209.973,160.089
512,64,2.42651,0.700352,0.663301
512,128,0.72615,0.674023,0.674684
512,256,0.724201,0.698544,0.678236
512,512,0.718205,0.714545,0.671123
512,1024,0.727264,0.736447,0.686859
512,2048,0.768825,0.761752,0.706228
512,4096,0.807919,0.799795,0.749843
512,8192,0.8818,0.920494,0.827959
512,16384,1.05385,1.10961,1.00662
512,32768,1.39314,1.49358,1.35276
512,65536,2.03704,2.29678,1.99972
512,131072,3.40323,3.88375,3.31055
512,262144,6.0637,7.01976,5.95309
512,524288,11.4406,13.4159,11.2214
512,1048576,22.1248,26.1203,21.8623
512,2097152,43.5417,51.348,43.6866
512,4194304,85.6594,103.719,86.7256
512,8388608,170.815,208.45,173.159
512,16777216,347.544,404.836,352.303
1024,64,0.894423,0.725044,0.70617
1024,128,0.673398,0.700949,0.675532
1024,256,0.665222,0.72668,0.670349
1024,512,0.686564,0.741059,0.66574
1024,1024,0.696095,0.745408,0.696303
1024,2048,0.733645,0.792927,0.738836
1024,4096,0.813662,0.894055,0.824191
1024,8192,0.989597,1.09607,0.982228
1024,16384,1.32454,1.48409,1.33306
1024,32768,2.01231,2.27517,1.96984
1024,65536,3.39496,3.95227,3.19943
1024,131072,6.13297,7.15702,5.78544
1024,262144,11.5751,13.3883,10.8371
1024,524288,22.4671,26.3337,21.6182
1024,1048576,44.3931,52.0464,42.3219
1024,2097152,90.3658,107.197,85.3261
1024,4194304,179.16,206.998,170.107
1024,8388608,354.221,416.935,333.727
1024,16777216,693.313,835.217,621.209
2048,64,1.1882,0.716584,0.646263
2048,128,0.655958,0.713053,0.650791
2048,256,0.670685,0.71499,0.656041
2048,512,0.69158,0.733685,0.682646
2048,1024,0.739429,0.79935,0.73352
2048,2048,0.818221,0.926186,0.837806
2048,4096,0.999848,1.15298,1.03683
2048,8192,1.36906,1.64749,1.44227
2048,16384,2.08595,2.58602,2.17739
2048,32768,3.52776,4.51295,3.50217
2048,65536,6.38552,8.36613,6.308
2048,131072,12.1204,16.0302,12.636
2048,262144,23.3741,31.4383,23.3439
2048,524288,46.6224,62.1051,46.2481
2048,1048576,91.6683,124.034,92.9447
2048,2097152,185.391,242.62,181.107
2048,4194304,367.074,499.396,364.625
2048,8388608,726.995,972.807,741.963
2048,16777216,1472.68,1970.6,1514.91
4096,64,1.484,0.786874,0.738991
4096,128,0.781101,0.813583,0.781033
4096,256,0.767946,0.811237,0.775071
4096,512,0.79367,0.857779,0.772956
4096,1024,0.875122,0.972621,0.882484
4096,2048,1.06439,1.2149,1.02967
4096,4096,1.40775,1.68429,1.39406
4096,8192,2.11635,2.63615,2.08056
4096,16384,3.54235,4.56526,3.35723
4096,32768,6.38845,8.39762,5.96465
4096,65536,12.0667,16.0822,11.2501
4096,131072,23.419,31.3731,21.7999
4096,262144,46.1007,62.0054,42.8251
4096,524288,92.0958,124.439,84.5166
