Degree,Iteration,No Vector Time,Implicit Time,Intrinsic Time,Intrinsic aligned,LGA,LGAS
16,64,0.00075635,0.00174546,0.00267876,0.00087512,0.00064484,0.000542249
16,128,0.00137906,0.00181923,0.00143276,0.00156492,0.000890439,0.000890751
16,256,0.00239577,0.0033073,0.00262884,0.00285679,0.00144891,0.00144082
16,512,0.00431982,0.0060922,0.00502911,0.00547574,0.00259768,0.00271165
16,1024,0.00829243,0.0117766,0.00949731,0.010504,0.00493912,0.00516603
16,2048,0.0168541,0.0231003,0.0191593,0.0209126,0.0100414,0.0100079
16,4096,0.0331737,0.0455581,0.0378377,0.041327,0.0198256,0.0198108
16,8192,0.0658402,0.0904453,0.0786428,0.0815015,0.0390558,0.0415261
16,16384,0.131153,0.180339,0.146047,0.169001,0.0778013,0.0777755
16,32768,0.254333,0.360924,0.299821,0.322528,0.144924,0.159524
16,65536,0.46966,0.700098,0.584137,0.649209,0.289177,0.309723
16,131072,0.921218,1.28817,1.15312,1.31104,0.602674,0.598564
16,262144,1.83569,2.57757,2.1607,2.37306,1.12831,1.13945
16,524288,3.65386,5.15363,4.27179,4.70879,2.29798,2.27809
16,1048576,7.31386,10.3026,8.63091,9.36125,4.47247,4.3139
16,2097152,14.5568,20.6003,17.1111,18.6854,9.08018,9.08457
16,4194304,29.1179,41.1921,34.3209,37.2611,18.0313,17.9651
16,8388608,58.1938,82.2716,68.4847,74.5963,35.8107,35.4756
16,16777216,116.643,164.471,136.998,149.186,71.4748,71.4162
32,64,0.00122207,0.00487937,0.00489312,0.00141031,0.000921921,0.000897898
32,128,0.00229871,0.00268707,0.00252434,0.00257368,0.00150359,0.00147445
32,256,0.00440324,0.00490402,0.00451419,0.00495007,0.00278122,0.00273372
32,512,0.00841813,0.00946255,0.00876705,0.00944699,0.00528353,0.00521202
32,1024,0.0161846,0.0185531,0.0171103,0.0186209,0.0100106,0.00981566
32,2048,0.0310863,0.0365538,0.0328427,0.0357693,0.019707,0.0190098
32,4096,0.0649938,0.0728158,0.0674624,0.0730427,0.0402661,0.0390522
32,8192,0.126767,0.145185,0.134245,0.146174,0.0800774,0.0788794
32,16384,0.25298,0.289833,0.268418,0.300032,0.155016,0.15261
32,32768,0.494806,0.579042,0.551158,0.58021,0.309609,0.303726
32,65536,0.92148,1.0359,1.04505,1.06718,0.584337,0.576672
32,131072,1.82436,2.07153,2.0658,2.19679,1.17236,1.14128
32,262144,3.6221,4.13942,4.05129,4.19633,2.34014,2.30313
32,524288,7.24044,8.27264,7.98383,8.34744,4.68029,4.60768
32,1048576,14.4843,16.5408,16.3013,16.6666,9.36024,9.16189
32,2097152,28.9118,33.08,32.546,33.2649,18.7175,18.3289
32,4194304,57.7959,66.1749,65.0638,66.603,37.436,36.7021
32,8388608,115.642,132.319,126.586,132.982,74.8766,73.226
32,16777216,231.089,264.716,253.156,266.101,149.75,146.563
64,64,0.00219076,0.00261265,0.00220999,0.00193947,0.00125956,0.00118913
64,128,0.00425587,0.00472466,0.00436159,0.00381034,0.00227397,0.00229466
64,256,0.00841176,0.00910385,0.00868621,0.00745391,0.00436598,0.00449399
64,512,0.016517,0.0178492,0.017077,0.0145467,0.00864146,0.00862689
64,1024,0.0320278,0.0353028,0.0338621,0.0287287,0.0170047,0.0169736
64,2048,0.0719862,0.0702528,0.0653317,0.0557926,0.0317899,0.0321968
64,4096,0.118053,0.149876,0.123198,0.104977,0.0799879,0.0650604
64,8192,0.24945,0.28166,0.261293,0.206859,0.122464,0.122447
64,16384,0.496089,0.547344,0.544678,0.441748,0.258875,0.244441
64,32768,0.917703,0.998608,0.987292,0.874724,0.491183,0.485248
64,65536,1.80148,1.99585,2.13254,1.7574,0.979133,0.963389
64,131072,3.61493,3.99121,4.05915,3.33589,1.95402,1.92721
64,262144,7.2141,7.97797,8.18182,6.72567,3.88358,3.85535
64,524288,14.3963,15.9515,16.2131,13.4975,7.79559,7.76092
64,1048576,28.8312,31.9051,32.731,27.1398,15.4697,15.5177
64,2097152,57.6576,63.8103,65.4973,54.1993,31.0933,30.9416
64,4194304,115.226,127.628,131.109,108.731,61.9372,61.9978
64,8388608,230.458,255.237,261.709,218.025,124.236,124.015
64,16777216,460.896,510.507,523.867,435.047,248.358,248.747
128,64,0.00430967,0.00466304,0.00441809,0.00369059,0.00218741,0.00220379
128,128,0.00828985,0.00892087,0.00857427,0.00706253,0.00403592,0.00404499
128,256,0.0164698,0.0174802,0.0167582,0.0138394,0.00776316,0.00779928
128,512,0.032468,0.0346029,0.0342697,0.0281343,0.0157642,0.0158844
128,1024,0.0644176,0.0688463,0.0720817,0.0560011,0.0311848,0.0311319
128,2048,0.12252,0.13745,0.132077,0.107919,0.0608564,0.0607036
128,4096,0.256311,0.278016,0.263689,0.216019,0.121202,0.121078
128,8192,0.490533,0.552128,0.529466,0.433767,0.241848,0.228376
128,16384,0.899771,0.979879,1.05575,0.863076,0.483242,0.459021
128,32768,1.80886,1.96407,1.99806,1.63148,0.912164,0.945362
128,65536,3.60807,3.92408,3.98515,3.25383,1.82752,1.82866
128,131072,7.1939,7.83092,7.97052,6.51184,3.63489,3.63299
128,262144,14.4158,15.6613,15.9508,13.0154,7.29804,7.30261
128,524288,28.7665,31.3196,31.8793,26.0513,14.6209,14.5444
128,1048576,57.5702,62.6366,63.7594,52.0697,29.196,29.1139
128,2097152,115.066,125.278,127.736,104.2,58.4913,58.1637
128,4194304,230.12,250.563,255.185,208.436,116.924,116.587
128,8388608,460.218,501.138,510.189,416.687,233.766,246.77
128,16777216,920.412,1002.34,1021.92,833.538,467.808,466.074
256,64,0.0084272,0.00879517,0.00843391,0.0069154,0.00399494,0.004023
256,128,0.0164794,0.0173757,0.0169752,0.0141774,0.00774936,0.00799786
256,256,0.0325964,0.034301,0.0337637,0.0276298,0.0155832,0.0199052
256,512,0.0647663,0.0698896,0.0668627,0.0557316,0.0308803,0.0321041
256,1024,0.128887,0.136121,0.134531,0.109635,0.0615044,0.0617695
256,2048,0.263971,0.271827,0.281517,0.215374,0.112306,0.116918
