Degree,Iteration,No Vector Time,Implicit Time,Intrinsic Time,Intrinsic aligned,LGA,LGAS
256,64,3.03293,22.2631,0.0128839,0.0270121,0.0213591,0.015876
256,128,0.0231019,0.047908,0.0230019,0.0225969,0.0237731,0.0224579
256,256,0.0346639,0.063121,0.0354311,0.0439791,0.033964,0.0360611
256,512,0.0456991,0.066128,0.0480371,0.050407,0.050789,0.0622901
256,1024,0.0543801,0.0546461,0.0600721,0.054373,0.097314,0.0567399
256,2048,0.0630979,0.0644839,0.0649721,0.065574,0.063086,0.0640579
256,4096,0.0742909,0.0767909,0.080059,0.0769411,0.072582,0.0772249
256,8192,0.0935879,0.144289,0.0969659,0.085369,0.0849031,0.0834401
256,16384,0.121896,0.119496,0.130247,0.115868,0.0995401,0.101938
256,32768,0.186725,0.173304,0.186841,0.166586,0.130217,0.131022
256,65536,0.30805,0.286604,0.312731,0.258878,0.182685,0.184947
256,131072,0.559575,0.495533,0.550396,0.454377,0.297099,0.293228
256,262144,1.0307,0.915326,1.03892,0.830063,0.501561,0.518087
256,524288,1.88416,1.75646,2.03403,1.59534,0.930552,0.94819
256,1048576,3.65301,3.46821,3.94136,3.09282,1.77319,1.80561
256,2097152,7.00558,6.77224,7.7752,6.10049,3.48314,3.515
256,4194304,13.884,13.5071,15.4397,12.1253,6.85933,6.95733
256,8388608,27.6155,26.8378,30.7969,24.1759,13.6593,13.8477
256,16777216,55.0977,53.6382,61.4729,48.3105,27.1982,27.5665
512,64,0.027013,0.020096,0.019872,0.0167651,0.0160309,0.0168721
512,128,0.038215,0.029113,0.0234561,0.021997,0.022237,0.0226199
512,256,0.0347331,0.041038,0.036862,0.0325731,0.039194,0.0374489
512,512,0.0468911,0.0496999,0.0481499,0.0459009,0.049551,0.0472639
512,1024,0.0576619,0.0559001,0.0654501,0.0563479,0.052932,0.0533769
512,2048,0.0710941,0.0673921,0.066947,0.067257,0.063777,0.0687779
512,4096,0.0844229,0.118043,0.09045,0.0829739,0.075737,0.0736391
512,8192,0.11892,0.149773,0.129713,0.108401,0.0941941,0.094289
512,16384,0.183863,0.179149,0.191273,0.163925,0.122601,0.120876
512,32768,0.303215,0.322003,0.308408,0.269944,0.190062,0.175295
512,65536,0.536489,0.484013,0.547417,0.447338,0.274707,0.282859
512,131072,1.01079,0.90915,1.02832,0.811867,0.480501,0.495682
512,262144,1.84678,1.7729,2.03355,1.55801,0.887908,0.895643
512,524288,3.48256,3.44125,3.94387,3.0346,1.70769,1.73547
512,1048576,6.88754,6.78252,7.77762,6.00569,3.32904,3.39528
512,2097152,13.5161,13.4421,15.4729,11.9438,6.5877,6.72197
512,4194304,26.9072,26.8621,30.7682,23.7972,13.0894,13.348
512,8388608,53.6557,53.3713,61.9419,47.5764,26.0923,26.6352
512,16777216,107.212,106.58,122.737,95.0298,52.0922,53.1804
1024,64,0.0172361,0.057268,0.0247001,0.017305,0.0159729,0.017655
1024,128,0.02393,0.026902,0.023085,0.0218529,0.0238079,0.023985
1024,256,0.0367891,0.04067,0.033985,0.0354471,0.0343559,0.036774
1024,512,0.0501709,0.0556209,0.045744,0.0473749,0.049319,0.0464201
1024,1024,0.086433,0.100421,0.0709259,0.057035,0.060364,0.054816
1024,2048,0.148239,0.141111,0.153524,0.148653,0.11138,0.067604
1024,4096,0.109403,0.302884,0.11016,0.103237,0.081658,0.0910831
1024,8192,0.449477,0.573111,0.176972,0.154418,0.114556,0.122043
1024,16384,0.288478,0.885036,0.28977,0.247784,0.173641,0.178708
1024,32768,0.753073,1.64037,0.567044,1.70988,0.306347,1.06247
1024,65536,1.11777,2.24517,1.74034,0.914262,1.01547,1.05596
1024,131072,2.10884,5.86829,2.46274,1.54711,1.61675,1.02773
1024,262144,3.43961,3.67626,3.91651,3.01578,1.7012,1.81113
1024,524288,6.77333,6.7325,7.73399,5.96935,3.32774,3.54174
1024,1048576,13.3339,13.4853,15.3721,11.8991,6.6049,7.00973
1024,2097152,26.6123,27.1178,30.686,23.6803,13.1086,13.9544
1024,4194304,52.976,53.6288,61.4298,47.2902,26.1587,27.8185
1024,8388608,105.786,106.501,122.671,94.5067,52.261,55.5687
1024,16777216,211.429,212.272,245.474,189.035,104.44,111.056
2048,64,0.032184,0.041517,0.0189091,0.0271509,0.016353,0.0192961
2048,128,0.0231291,0.0245151,0.0232691,0.0234701,0.0236021,0.0243091
2048,256,0.0454311,0.041597,0.0459639,0.046185,0.0453891,0.0439291
2048,512,0.069714,0.0739981,0.0650399,0.077198,0.0665341,0.070278
2048,1024,0.125971,0.137925,0.130266,0.137909,0.129009,0.0553871
2048,2048,0.097069,0.231574,0.0953199,0.0854449,0.068087,0.0709109
2048,4096,0.156116,0.208104,0.16387,0.138379,0.101542,0.104242
2048,8192,0.270226,0.643327,0.280565,0.237392,0.164646,0.155577
2048,16384,0.502383,0.532527,0.526907,0.410827,0.269285,0.266714
2048,32768,1.13839,1.12231,1.28357,1.02208,0.707006,0.696929
2048,65536,1.8292,1.75419,1.99016,1.49938,0.872794,0.895453
2048,131072,3.41312,4.03193,3.88689,2.95238,1.67986,1.72474
2048,262144,6.73427,7.0655,7.68796,5.8565,3.29573,3.38923
2048,524288,13.2439,13.9243,15.2845,11.6613,6.51012,6.70609
2048,1048576,26.4153,27.1305,30.4664,23.2556,12.9774,13.2524
2048,2097152,52.5736,53.5749,60.8316,50.8478,25.9178,26.5426
2048,4194304,104.975,107.707,121.578,92.8725,51.7267,52.9821
2048,8388608,210,213.237,243.153,185.695,103.377,105.913
2048,16777216,419.816,425.894,486.419,371.672,206.675,211.619
4096,64,0.0222501,0.064544,0.017326,0.0188819,0.017124,0.017913
4096,128,0.029938,0.046213,0.023467,0.0233069,0.024057,0.024402
4096,256,0.062683,0.073773,0.065832,0.0692461,0.0343459,0.032529
4096,512,0.12506,0.109408,0.121355,0.101466,0.112149,0.11494
4096,1024,0.1344,0.142721,0.141054,0.0784641,0.0614021,0.0626079
4096,2048,0.14267,0.265004,0.146165,0.124198,0.091443,0.09155
4096,4096,0.256485,0.822385,0.264534,0.22216,0.158089,0.160328
4096,8192,0.493094,0.731484,0.512292,0.410752,0.269602,0.263879
4096,16384,0.951175,0.911638,1.02744,0.789451,0.496592,0.480314
4096,32768,1.8017,2.11149,1.97985,1.53503,0.921488,0.92276
4096,65536,3.39551,3.82055,3.87512,3.01664,1.79404,1.79424
4096,131072,6.72528,6.8011,7.66329,6.00484,3.54364,3.54864
4096,262144,13.2931,13.7489,15.2558,11.9764,7.02917,7.03091
4096,524288,26.3619,27.2009,30.4288,23.9042,13.9947,14.0324
4096,1048576,52.632,54.4125,60.8107,47.7754,27.9134,28.0257
4096,2097152,105.054,108.312,121.519,95.5322,55.7869,56.022
4096,4194304,210.008,216.39,242.945,191.058,111.552,111.944
4096,8388608,419.801,432.193,485.958,381.832,223.107,223.837
4096,16777216,839.533,863.655,972.222,763.768,446.217,447.223
8192,64,0.0189331,0.036452,0.0206391,0.019069,0.0162579,0.0176321
8192,128,0.027096,0.0369659,0.030887,0.026721,0.024113,0.0264739
8192,256,0.0440879,0.0600789,0.046983,0.043092,0.0382159,0.033962
8192,512,0.075399,0.0913211,0.0826741,0.0738981,0.0555079,0.055654
8192,1024,0.139792,0.156702,0.150788,0.131874,0.0893401,0.089787
8192,2048,0.306641,0.56463,0.284287,0.243001,0.156322,0.165138
8192,4096,0.49852,0.713103,0.559025,0.464038,0.284915,0.292263
8192,8192,0.978291,1.51722,1.08053,0.901236,0.527049,0.545778
8192,16384,1.83137,2.41206,2.17421,1.77131,1.01281,1.04633
8192,32768,3.55701,4.18817,4.28513,3.50721,1.99473,2.06129
8192,65536,6.89689,8.48001,8.52776,6.99993,3.94483,4.09091
8192,131072,13.6958,17.0917,16.9787,13.9567,7.87153,8.14367
8192,262144,27.265,33.5096,33.9471,27.9083,15.6457,16.2665
8192,524288,54.4785,66.6847,67.8344,55.8182,31.2515,32.4571
8192,1048576,108.795,133.37,135.619,111.607,62.4231,64.8808
8192,2097152,217.449,266.385,271.313,223.22,124.909,129.742
8192,4194304,434.709,532.451,542.328,446.356,249.105,259.373
8192,8388608,869.332,1063.98,1084.14,892.817,498.675,518.897
8192,16777216,1744.27,2128.94,2170.02,1785.36,997.524,1037.4
16384,64,0.027251,0.0570721,0.030432,0.027109,0.020375,0.0213901
16384,128,0.0451191,0.0599411,0.0506241,0.045296,0.033533,0.031828
16384,256,0.0752381,0.106776,0.081296,0.069965,0.045927,0.0466411
16384,512,0.135529,0.171547,0.151336,0.128881,0.079562,0.082109
16384,1024,0.260142,0.30546,0.279613,0.241601,0.142195,0.147349
16384,2048,0.491586,0.566556,0.547318,0.455118,0.265578,0.284196
16384,4096,0.943931,1.10809,1.11446,0.897462,0.505226,1.66064
16384,8192,1.81399,2.14276,2.18128,1.77625,1.00295,1.04435
16384,16384,3.55186,4.18771,4.29643,3.50985,1.9805,2.05294
