Degree,Iteration,OMPTime,VecTime,Auto Vec Time
16,64,50.2529,9.52354,7.97837
16,128,9.1211,2.76417,2.6546
16,256,3.2859,2.90841,2.8687
16,512,3.30559,3.29655,3.09008
16,1024,3.24707,3.33468,3.03565
16,2048,3.28224,3.38065,3.12218
16,4096,3.297,3.48577,3.02505
16,8192,3.26858,3.44292,3.02385
16,16384,3.2742,3.36377,3.01318
16,32768,3.39762,3.5588,3.06794
16,65536,3.34173,3.57281,3.07506
16,131072,3.35788,3.55384,3.09223
16,262144,3.53579,3.75874,3.21472
16,524288,3.75544,3.99339,3.38627
16,1048576,4.29829,4.89883,3.8754
16,2097152,6.25632,6.47187,4.62722
16,4194304,7.82152,9.63373,6.39212
16,8388608,7.29199,11.9199,9.94876
16,16777216,13.0493,14.2738,12.0259
32,64,2.92112,2.84428,2.91859
32,128,2.89599,2.85179,2.86524
32,256,2.88333,2.87787,2.89546
32,512,2.89194,2.93348,2.83706
32,1024,8.30546,2.97353,2.86672
32,2048,2.95231,2.95597,2.87903
32,4096,2.93978,2.97741,2.86437
32,8192,2.93707,2.94893,2.84158
32,16384,2.97327,3.01529,2.90855
32,32768,2.98253,3.03469,2.91859
32,65536,2.99193,3.05455,2.93835
32,131072,2.9759,3.05866,2.96419
32,262144,3.08028,3.12014,3.1211
32,524288,3.38196,3.30136,3.39715
32,1048576,3.84574,3.66306,3.97972
32,2097152,5.49536,4.21887,5.00764
32,4194304,7.16873,5.50646,6.92183
32,8388608,10.3511,8.04092,11.0704
32,16777216,18.2077,13.1522,19.8731
64,64,2.86432,2.81446,2.78798
64,128,2.83521,2.81557,2.79837
64,256,2.88113,2.8474,2.80982
64,512,2.88362,2.8845,2.84512
64,1024,2.86131,2.87559,2.8194
64,2048,2.89024,2.90361,2.80382
64,4096,2.97269,3.00839,2.82051
64,8192,2.9751,2.9177,2.86681
64,16384,2.87947,2.96049,2.84895
64,32768,2.9307,2.96644,2.8809
64,65536,2.93747,2.99597,2.95798
64,131072,3.03226,3.05711,3.08929
64,262144,3.1688,3.23641,3.28246
64,524288,3.42709,3.5424,3.75067
64,1048576,3.95036,4.17958,4.63775
64,2097152,5.03816,5.41287,6.45101
64,4194304,7.20058,8.70705,10.0015
64,8388608,11.5355,14.4335,17.1541
64,16777216,24.5827,23.0162,31.4966
128,64,2.81085,2.80972,2.785
128,128,2.79976,2.78576,2.78861
128,256,3.06657,5.07954,4.76328
128,512,3.79327,3.068,2.98638
128,1024,3.02468,2.99974,2.96388
128,2048,3.01513,2.99969,2.94601
128,4096,2.98672,3.02308,2.92572
128,8192,2.99536,3.00527,2.94421
128,16384,2.99749,3.03035,2.9653
128,32768,3.02595,3.05834,2.98747
128,65536,3.0866,3.10518,3.07034
128,131072,3.182,3.28318,3.22533
128,262144,3.47259,3.56251,3.58836
128,524288,3.97245,4.13767,4.33372
128,1048576,4.98654,5.39037,5.70204
128,2097152,7.05684,7.84078,8.54653
128,4194304,11.1529,12.7552,14.1934
128,8388608,19.4423,22.5019,19.8242
128,16777216,35.9779,42.0535,36.9912
256,64,2.84685,2.82538,2.87075
256,128,2.85914,2.81714,2.82994
256,256,2.8811,2.85172,2.85064
256,512,2.87994,2.8891,2.83837
256,1024,2.88734,2.89544,2.83576
256,2048,2.90056,2.89934,2.8684
256,4096,2.93727,2.95562,2.85707
256,8192,2.92792,2.94203,2.91865
256,16384,2.9497,2.96901,2.91862
256,32768,3.02529,3.03699,2.98313
256,65536,3.13413,3.24231,3.14501
256,131072,3.38792,3.53961,3.48794
256,262144,3.95569,4.12818,4.14158
256,524288,4.99371,5.36504,5.49866
256,1048576,7.08476,7.87318,8.09038
256,2097152,11.2534,12.7959,13.3807
256,4194304,19.6357,22.6438,23.9104
256,8388608,38.5362,46.3075,58.9557
256,16777216,69.3773,82.0831,74.2464
512,64,2.85439,2.82554,2.83899
512,128,2.86172,2.82187,2.85373
512,256,2.83161,2.84864,2.82447
512,512,2.87257,2.90395,2.80729
512,1024,2.88714,2.88544,2.8074
512,2048,2.88689,2.87844,2.87253
512,4096,2.87544,2.9283,2.89149
512,8192,2.94688,2.95455,2.90423
512,16384,3.02633,3.04386,2.96447
512,32768,3.14591,3.19104,3.04921
512,65536,3.40555,3.53758,3.31936
512,131072,3.90725,4.13554,4.11996
512,262144,4.95386,5.546,6.43207
512,524288,9.11473,10.816,9.87332
512,1048576,11.6367,17.3307,10.6693
512,2097152,19.6235,23.3127,24.222
512,4194304,36.4181,43.694,41.3466
