Degree,Iteration,No Vector Time,Implicit Time,Intrinsic Time,Intrinsic aligned,LGA,LGAS
16,64,0.167731,0.167738,0.178289,0.173683,0.19455,0.132404
16,128,0.133578,0.19923,0.189784,0.202533,0.180821,0.197914
16,256,0.207139,0.243124,0.327598,0.297248,0.278764,0.23704
16,512,0.21952,0.3018,0.304256,0.328662,0.230656,0.267848
16,1024,0.317249,0.308206,0.328967,0.302395,0.328059,0.352228
16,2048,0.333651,0.339727,0.492181,0.427845,0.459596,0.341362
16,4096,0.376893,0.401986,0.51431,0.435889,0.454154,0.473201
16,8192,0.410542,0.361228,0.408608,0.393435,0.436867,0.441952
16,16384,0.509167,0.403701,0.587493,0.457766,0.500071,0.51905
16,32768,0.473658,0.740907,0.629637,0.561852,0.564103,0.67308
16,65536,1.00385,0.800729,0.905394,1.17703,0.580138,0.544803
16,131072,0.955756,0.929255,1.24024,1.08009,0.623615,0.496866
16,262144,2.85362,1.73792,1.76477,2.05759,0.718115,0.615666
16,524288,6.00146,5.88233,2.65783,6.78428,0.805827,0.778392
16,1048576,11.0879,13.8164,13.2884,13.0724,1.12751,0.995214
16,2097152,10.0386,10.9196,12.0111,10.5405,1.49493,1.45701
16,4194304,21.0215,21.8143,22.3694,26.5893,2.11716,2.1248
16,8388608,21.0034,19.6057,25.1204,31.8313,2.4862,1.29246
16,16777216,29.5208,43.7508,34.3572,35.2422,2.27214,2.35155
32,64,0.0426517,0.0421592,0.0687532,0.0771039,0.0474585,0.0492652
32,128,0.0468173,0.0464696,0.0640733,0.058785,0.0530436,0.051909
32,256,0.0714496,0.0621687,0.0854884,0.109956,0.0658757,0.0654632
32,512,0.097798,0.0823146,0.113916,0.0881059,0.0850424,0.107839
32,1024,0.0864589,0.172308,0.143821,0.101498,0.103738,0.102017
32,2048,0.110606,0.0970661,0.150971,0.115915,0.119703,0.125152
32,4096,0.116866,0.110345,0.141862,0.131437,0.13154,0.132419
32,8192,0.115523,0.121007,0.16392,0.136928,0.155189,0.143072
