Degree,Iteration,OMPTime,VecTime,Auto Vec Time
16,64,29.7692,1.42339,1.28203
16,128,1.58571,1.34785,1.41976
16,256,1.5458,1.33568,1.46353
16,512,1.70321,1.38943,1.37675
16,1024,1.17288,0.211619,0.272339
16,2048,1.85787,1.50982,1.49325
16,4096,0.851887,0.388968,0.361519
16,8192,1.71884,0.538138,0.545748
16,16384,3.03948,0.938966,1.15654
16,32768,4.50015,1.52005,1.72052
16,65536,8.80792,2.94615,3.30081
16,131072,17.2466,5.16108,6.03266
16,262144,33.4806,10.2093,11.8384
16,524288,66.0713,20.0157,23.6167
16,1048576,131.391,39.8798,47.8145
16,2097152,267.269,79.3306,93.5016
16,4194304,525.044,167.266,189.848
16,8388608,1077.49,339.067,399.849
16,16777216,2096.66,635.955,757.194
32,64,0.257619,0.289979,0.209569
32,128,0.243059,0.217979,0.247249
32,256,0.304228,0.19359,0.187499
32,512,0.415519,0.214469,0.199399
32,1024,0.506648,0.248579,0.248419
32,2048,0.825177,0.366758,0.284829
32,4096,1.39388,0.477538,0.434348
32,8192,2.56472,0.816607,0.682577
32,16384,4.62853,1.47435,1.14156
32,32768,9.15351,2.74812,2.05511
32,65536,17.8074,5.08895,3.88185
32,131072,34.7809,9.92357,7.61939
32,262144,69.6424,19.5606,14.904
32,524288,139.047,38.9137,29.9033
32,1048576,275.993,78.0455,58.6899
32,2097152,552.703,156.021,118.24
32,4194304,1117.35,312.506,235.47
32,8388608,2210.23,630.99,483.274
32,16777216,4450.43,1267.11,942.914
64,64,0.282219,0.217839,0.17937
64,128,0.348499,0.199479,0.185659
64,256,0.443208,0.234519,0.234959
64,512,0.566837,0.264559,0.228239
64,1024,0.814876,0.336479,0.340679
64,2048,1.3494,0.489558,0.439338
64,4096,2.34425,0.933816,0.622177
64,8192,4.36428,1.52117,1.10028
64,16384,9.1883,2.88432,2.13584
64,32768,17.9822,5.28754,3.70683
64,65536,35.4503,10.5624,7.65376
64,131072,69.8223,20.3384,14.1102
64,262144,132.003,39.097,27.9971
64,524288,264.341,78.3964,56.174
64,1048576,523.614,156.507,112.662
64,2097152,1093.36,337.687,239.514
64,4194304,2132.02,624.91,446.584
64,8388608,4221.2,1250.26,924.292
64,16777216,8617.04,2498.17,1809.95
128,64,0.275979,0.288779,0.191079
128,128,0.360819,0.270138,0.209669
128,256,0.481368,0.347188,0.252059
128,512,0.782906,0.335038,0.329669
128,1024,1.29904,0.485058,0.422208
128,2048,2.33331,0.870876,0.605797
128,4096,4.53763,1.51733,1.14378
128,8192,8.86911,2.83473,2.12076
128,16384,16.6859,5.54786,3.65253
128,32768,32.4092,10.034,6.99768
128,65536,65.0817,19.6715,13.8554
128,131072,129.652,39.7127,28.131
128,262144,255.773,77.9549,54.8402
128,524288,512.193,155.876,109.137
128,1048576,1028.4,312.527,219.861
128,2097152,2183.59,665.697,465.123
128,4194304,4135.62,1311.43,882.142
128,8388608,8231.98,2614.93,1842.2
128,16777216,16672.7,5036.6,3526.72
256,64,0.357069,0.278498,0.18847
256,128,0.510837,0.243929,0.2096
256,256,0.764907,0.326198,0.257989
256,512,1.3824,0.519928,0.354558
256,1024,2.32613,0.790657,0.627208
256,2048,4.28044,1.46681,1.05421
256,4096,8.2997,2.70744,1.93542
256,8192,16.4279,5.17269,3.57473
256,16384,32.3617,10.2787,7.00698
256,32768,64.3016,19.9847,13.8289
256,65536,126.462,40.2103,27.5182
256,131072,252.96,79.6471,55.6617
256,262144,505.777,161.212,107.44
256,524288,1010.99,335.595,233.905
256,1048576,2046.12,635.968,430.492
256,2097152,4229.35,1348.11,864.869
256,4194304,8131.4,2551.61,1772.83
256,8388608,16287.5,5159.57,3654.86
256,16777216,32806.3,10436.6,6948.88
512,64,0.466577,0.317588,0.220869
512,128,0.747086,0.383448,0.288538
512,256,1.27352,0.499437,0.432358
512,512,2.28169,0.888706,0.608957
512,1024,4.2773,1.50702,1.08402
512,2048,8.29,2.77466,2.02748
512,4096,16.077,5.39972,3.69635
512,8192,31.9541,10.2423,7.17583
512,16384,63.171,20.6038,14.1309
512,32768,126.468,41.1035,27.8017
512,65536,260.517,87.9149,59.6197
512,131072,503.811,162.016,112.587
512,262144,1009.38,337.448,224.542
512,524288,2013.76,662.566,442.222
512,1048576,4083.37,1342.47,923.247
