Degree,Iteration,No Vector Time,Implicit Time,Intrinsic Time,Intrinsic aligned,LGA,LGAS
256,64,0.626835,13.4356,0.04376,0.0483199,0.0487101,0.04916
256,128,0.0452091,0.0411889,0.0464999,0.04712,0.0476191,0.040879
256,256,0.0647999,0.0326999,0.0336699,0.0393991,0.0296501,0.0414901
256,512,0.108179,0.047359,0.054219,0.049939,0.0399701,0.0399901
256,1024,0.200528,0.0839691,0.07893,0.077579,0.0512001,0.0580491
256,2048,0.377747,0.116309,0.137639,0.153478,0.0760089,0.084559
256,4096,0.746674,0.202528,0.256908,0.250078,0.121779,0.139689
256,8192,1.45875,0.389347,0.500236,0.446426,0.223188,0.252818
256,16384,2.90169,0.739224,0.965212,0.879043,0.392497,0.490726
256,32768,5.75965,1.48807,1.89041,1.72248,0.765253,0.938242
256,65536,11.5322,2.85211,3.76618,3.41456,1.49871,1.83628
256,131072,22.9667,5.69571,7.47436,6.80563,2.94238,3.63457
256,262144,46.1029,11.2945,14.9157,13.5577,5.8399,7.23551
256,524288,91.5747,22.7489,29.8164,27.0995,11.653,14.4202
256,1048576,183.084,45.0735,59.619,54.1115,23.2441,28.7745
256,2097152,366.419,89.9953,119.211,108.075,46.4482,57.5252
256,4194304,733.162,179.89,238.462,216.145,92.9172,115.085
256,8388608,1465.29,362.899,477.24,433.337,185.771,230.412
256,16777216,2930.78,719.753,953.355,864.811,371.697,459.94
512,64,0.0427091,0.041219,0.03891,0.0392599,0.040969,0.0402591
512,128,0.0783299,0.03208,0.03997,0.03937,0.0403589,0.0402899
512,256,0.109399,0.0435301,0.063959,0.04748,0.0401199,0.0402
512,512,0.198328,0.066269,0.080599,0.07527,0.0472,0.052139
512,1024,0.387366,0.109819,0.138109,0.128299,0.0708589,0.0808891
512,2048,0.739004,0.197898,0.253478,0.233548,0.130929,0.140419
512,4096,1.45752,0.373697,0.484586,0.456816,0.214549,0.264758
512,8192,2.87167,0.735224,0.959782,0.867242,0.397997,0.484706
512,16384,5.72651,1.45375,1.8887,1.7288,0.780904,0.957063
512,32768,11.4442,2.84913,3.74828,3.4241,1.52163,1.87711
512,65536,22.8237,5.6835,7.45087,6.83688,3.01631,3.72767
512,131072,45.5947,11.2958,14.8726,13.6213,5.9998,7.43833
512,262144,91.112,22.5434,29.7381,27.1936,11.9793,14.8125
512,524288,182.18,45.038,59.4757,54.3359,23.8954,29.5805
512,1048576,364.825,89.9948,118.86,108.627,48.0014,59.1515
512,2097152,729.051,179.975,237.707,217.285,95.5351,118.317
512,4194304,1457.85,360.152,475.481,434.639,191.063,236.508
512,8388608,2915.12,720.149,950.947,869.242,382.113,473.043
512,16777216,5830.83,1439.65,1901.59,1738.46,764.155,946.182
1024,64,0.0661799,0.0476201,0.0398099,0.0393889,0.04102,0.03947
1024,128,0.109159,0.0442399,0.04924,0.04326,0.0407799,0.0406789
1024,256,0.198379,0.0667701,0.0782599,0.0659799,0.04347,0.04957
1024,512,0.373567,0.108919,0.149679,0.112789,0.066799,0.0776089
1024,1024,0.728094,0.212268,0.264628,0.204418,0.111329,0.133179
1024,2048,1.44469,0.377857,0.487106,0.388457,0.212218,0.243998
1024,4096,2.8706,0.750494,0.963383,0.767234,0.380577,0.479356
1024,8192,5.73469,1.46304,1.89907,1.5024,0.749014,0.925083
1024,16384,11.4145,2.91353,3.76977,2.97126,1.46165,1.82055
1024,32768,22.8004,5.75394,7.49937,5.91684,2.89159,3.63312
1024,65536,45.476,11.5758,15.0029,11.8163,5.74502,7.17634
1024,131072,91.1391,22.9496,29.9746,23.5671,11.461,14.3424
1024,262144,181.912,46.1766,59.8438,47.1416,22.9324,28.6721
1024,524288,363.378,91.4395,119.674,94.2162,45.7695,57.2423
1024,1048576,727.014,184.526,239.273,188.358,91.5532,114.492
1024,2097152,1453.56,365.814,478.468,376.831,183.158,229.186
1024,4194304,2907.18,738.384,957.013,753.136,366.062,458.092
1024,8388608,5813.48,1477.3,1913.08,1506.09,732.061,915.806
1024,16777216,11624.8,2950.98,3826.97,3012.64,1464.58,1832.26
2048,64,0.115689,0.065129,0.0495789,0.044009,0.04136,0.0399799
2048,128,0.201869,0.0690899,0.0788601,0.06731,0.0443899,0.0474
2048,256,0.391597,0.109649,0.136879,0.114049,0.063639,0.0756389
2048,512,0.730064,0.210848,0.253918,0.204959,0.109209,0.129559
2048,1024,1.45765,0.374887,0.484026,0.404667,0.196108,0.240358
2048,2048,2.87165,0.738084,0.961073,0.770184,0.370597,0.470456
2048,4096,5.72952,1.45218,1.8831,1.51627,0.730354,0.907773
2048,8192,11.4084,2.86827,3.75914,2.98737,1.43067,1.7859
2048,16384,22.7634,5.70536,7.47687,5.94412,2.82994,3.56238
2048,32768,45.4371,11.3738,14.9401,11.8838,5.62243,7.04994
2048,65536,90.7884,22.7504,29.8431,23.7126,11.2226,14.0898
2048,131072,181.585,45.4278,59.6412,47.4245,22.414,28.0992
2048,262144,362.882,91.0408,119.192,94.7598,44.7972,56.2234
2048,524288,725.68,181.492,238.172,189.631,89.5593,112.39
2048,1048576,1451.4,362.721,476.734,378.753,179.16,224.853
2048,2097152,2904.15,726.223,953.286,758.087,358.367,449.824
2048,4194304,5805.76,1451.72,1906.42,1514.34,716.348,899.2
2048,8388608,11613.7,2902.76,3812.75,3043.44,1434.02,1798.85
2048,16777216,23232,5827.54,7624.62,6060.68,2866.95,3596.28
4096,64,0.214198,0.0804191,0.087819,0.0692091,0.0459889,0.0907391
4096,128,0.404127,0.120019,0.149419,0.114369,0.0697399,0.0852001
4096,256,0.755074,0.210648,0.269178,0.203998,0.115389,0.145969
4096,512,1.46073,0.386877,0.523936,0.381847,0.206228,0.277137
4096,1024,2.88675,0.756754,1.00141,0.752544,0.387986,0.512116
4096,2048,5.73673,1.4653,1.96332,1.47006,0.761024,0.975812
4096,4096,11.4178,2.90511,3.88309,2.89503,1.4948,1.91409
4096,8192,22.7752,5.76781,7.7398,5.7485,2.94009,3.80301
4096,16384,45.4879,11.4806,15.4296,11.48,5.85293,7.5443
4096,32768,90.8598,22.9296,30.8785,22.8816,11.6842,15.0155
4096,65536,181.718,46.0319,61.6755,45.7372,23.3196,30.0407
4096,131072,363.295,91.5132,123.294,91.4385,46.6136,60.0112
4096,262144,726.914,182.959,246.634,182.81,93.2314,119.912
4096,524288,1453.45,365.733,493.1,365.613,186.383,239.844
4096,1048576,2907.01,731.513,986.362,731.07,372.667,479.82
4096,2097152,5813.33,1462.99,1972.26,1462.5,745.088,959.269
4096,4194304,11626.2,2925.84,3943.9,2924.68,1489.93,1918.54
4096,8388608,23255.6,5852.13,7890.05,5849.45,2979.83,3837.14
4096,16777216,46511.2,11704.6,15775.4,11698,5960.94,7673.39
8192,64,0.401227,0.154889,0.177399,0.139249,0.0801591,0.101019
8192,128,0.767314,0.261558,0.321507,0.248048,0.125579,0.178518
8192,256,1.46945,0.442107,0.621275,0.467327,0.246138,0.331887
8192,512,2.90923,0.862763,1.19753,0.937263,0.454056,0.650385
8192,1024,5.7515,1.69334,2.36363,1.79997,0.854243,1.26351
8192,2048,11.4762,3.37314,4.6731,3.59493,1.65613,2.50181
8192,4096,22.8981,6.65355,9.31203,7.08401,3.28855,4.95606
8192,8192,45.7299,13.2746,18.5696,14.1673,6.6087,9.90708
8192,16384,91.4344,26.4726,37.1352,28.2495,13.1659,19.7606
8192,32768,182.776,52.8922,74.1616,56.5098,26.2454,39.4932
8192,65536,365.444,105.727,148.229,113.039,52.4297,78.9054
8192,131072,730.859,211.524,296.434,225.909,105.116,157.854
8192,262144,1461.98,422.865,593.105,451.886,209.765,315.532
8192,524288,2924.17,845.408,1185.9,903.936,419.59,631.256
8192,1048576,5847.18,1690.58,2371.67,1807.17,840.013,1261.95
8192,2097152,11695.2,3379.71,4743.6,3615.69,1678.4,2523.98
8192,4194304,23390,6759.61,9485.75,7230.1,3357.64,5048.05
8192,8388608,46764.1,13518.1,18969.5,14460.9,6715.11,10097.6
8192,16777216,93537,27052.3,37936.7,28912.4,13434.3,20188.3
16384,64,0.772123,0.277458,0.330307,0.280358,0.141659,0.185248
16384,128,1.50623,0.456347,0.620215,0.489246,0.236358,0.354997
16384,256,2.90531,0.871383,1.2008,0.921722,0.453376,0.644285
16384,512,5.77097,1.68975,2.39348,1.79817,0.846203,1.26492
16384,1024,11.4749,3.35828,4.6955,3.53109,1.6534,2.49794
16384,2048,22.9698,6.66059,9.27485,7.01922,3.32622,4.94777
16384,4096,45.7124,13.2769,18.512,13.9739,6.54575,9.85451
16384,8192,91.3928,26.4867,36.9717,27.9435,13.221,19.6838
16384,16384,182.699,52.8557,73.922,55.812,26.2217,39.3169
16384,32768,365.38,105.646,147.837,111.902,52.7441,78.608
16384,65536,730.904,211.258,295.524,223.201,105.048,157.227
16384,131072,1460.85,422.594,590.986,446.409,210.213,314.334
16384,262144,2922.22,844.425,1181.99,892.585,420.818,628.9
16384,524288,5844.63,1688.94,2363.06,1784.75,841.594,1257.76
16384,1048576,11689.9,3378.48,4725.73,3569.81,1683.07,2515.58
16384,2097152,23379.3,6756.6,9453.29,7139.98,3367.36,5029.16
16384,4194304,46755.7,13511.7,18905.3,14279.1,6731.77,10058.2
16384,8388608,93526.7,27023.1,37814.3,28559.2,13467.2,20115.2
16384,16777216,187043,54040.8,75625.2,57122.1,26931.4,40230.6
32768,64,1.49603,0.500516,0.635005,0.481806,0.259438,0.360847
32768,128,2.93014,0.895532,1.20435,0.927662,0.478596,0.657755
32768,256,5.79678,1.71342,2.37469,1.80815,0.915542,1.28671
32768,512,11.5288,3.36244,4.67081,3.55972,1.79355,2.50887
32768,1024,22.9288,6.66692,9.26643,7.05396,3.57414,4.97158
32768,2048,45.7669,13.3132,18.5251,14.0735,7.0689,9.91096
32768,4096,91.5236,26.5125,36.9808,28.038,14.043,19.7489
32768,8192,182.984,52.8756,73.9045,56.0062,28.1573,39.453
32768,16384,365.592,105.754,147.644,112.163,56.1409,78.8293
32768,32768,730.89,211.151,295.187,223.826,112.269,157.682
32768,65536,1461.93,422.57,590.713,447.542,224.509,315.05
32768,131072,2924.74,844.768,1181.53,895.373,448.027,630.072
32768,262144,5848.27,1688.77,2365.23,1790.98,897.593,1260.27
32768,524288,11696.5,3377.37,4726.52,3580.93,1793.39,2521
32768,1048576,23394.1,6756.36,9448.13,7161.67,3586.43,5040.2
32768,2097152,46790.4,13512.7,18896.1,14323.2,7174.52,10083
32768,4194304,93572.4,27024.6,37789.8,28645,14352.9,20162.7
32768,8388608,187155,54051.8,75575.5,57292.3,28694.4,40336.7
32768,16777216,374293,108101,151149,114592,57390.7,80648.4
65536,64,2.98545,1.03224,1.22843,0.943372,0.523636,0.677774
65536,128,5.80061,1.84729,2.38354,1.82871,0.983352,1.34187
65536,256,11.5385,3.48557,4.72555,3.57663,1.90036,2.54114
65536,512,23.0316,6.87475,9.30852,7.09014,3.69806,5.0397
65536,1024,45.9535,13.5681,18.5851,14.1815,7.35574,9.9889
65536,2048,91.6446,27.1672,37.0588,28.1907,14.4237,19.915
65536,4096,183.28,53.8206,74.0703,56.2912,29.0287,39.7641
65536,8192,366.826,107.432,147.955,112.465,58.1502,79.4528
65536,16384,733.257,214.039,295.997,225.129,115.665,158.82
65536,32768,1465.48,428.255,591.662,450.11,231.647,317.778
65536,65536,2931.52,857.182,1183.09,900.037,462.166,635.227
65536,131072,5866,1711.43,2366.65,1798.73,923.574,1270.75
65536,262144,11725.6,3422.87,4731.27,3596.72,1848.84,2543.3
65536,524288,23451.3,6848.34,9463.77,7196.25,3695.51,5098.47
65536,1048576,46908.5,13695.4,18924.4,14392.5,7392.64,10173.9
65536,2097152,93854.3,27383.7,37872.3,28791.7,14785.3,20379
65536,4194304,187632,54795.7,75708.5,57554.4,29574.7,40725.4
65536,8388608,375306,109568,151456,115126,59135.6,81507.4
65536,16777216,750764,219060,302852,230270,118264,162950
