Degree,Iteration,OMPTime,VecTime,Auto Vec Time
16,64,50.5889,10.2171,10.4137
16,128,9.85132,3.30051,2.81427
16,256,9.27893,3.27821,2.74535
16,512,8.9988,3.29088,2.72733
16,1024,9.13302,3.33327,2.66674
16,2048,9.17309,3.38277,2.6749
16,4096,3.58024,2.92932,2.5326
16,8192,3.55495,2.92809,2.49925
16,16384,3.55971,2.931,2.51808
16,32768,12.2652,8.24513,7.49812
16,65536,12.7294,8.13386,7.40127
16,131072,10.9489,8.24521,7.48703
16,262144,11.3136,8.55161,7.71735
16,524288,13.6915,9.1621,7.95256
16,1048576,14.683,10.3788,8.47958
16,2097152,16.7497,12.7448,9.59271
16,4194304,27.0379,17.6124,11.7965
16,8388608,32.2576,28.4266,16.268
16,16777216,26.101,28.0244,20.5145
32,64,3.31189,2.7629,4.86132
32,128,6.34673,5.16636,4.84613
32,256,4.06207,5.15639,4.76783
32,512,6.37805,5.18215,4.88976
32,1024,5.9128,5.16483,4.8471
32,2048,5.52165,5.22372,4.84051
32,4096,6.49492,5.24283,4.81684
32,8192,5.6369,5.25778,4.82025
32,16384,6.10667,5.28148,4.82117
32,32768,6.47608,5.31907,4.85809
32,65536,6.17546,5.48199,4.86979
32,131072,6.81183,5.62666,4.9974
32,262144,7.09397,5.96776,5.20565
32,524288,9.74809,6.94914,5.48571
32,1048576,10.0832,8.50921,6.19506
32,2097152,16.0516,13.0051,8.00024
32,4194304,20.7062,21.8056,10.8946
32,8388608,27.0238,38.2944,19.0015
32,16777216,41.0609,39.3961,34.7566
64,64,10.776,5.13304,4.81546
64,128,9.91167,5.12883,4.85193
64,256,10.7245,5.1643,4.79349
64,512,22.7023,2.67061,2.42874
64,1024,3.31481,2.67003,2.44565
64,2048,3.33998,2.72401,2.41235
64,4096,3.39009,2.73129,2.40898
64,8192,87.9001,51.9966,51.9992
64,16384,19.1389,7.98996,7.55205
64,32768,18.6504,29.4405,7.54014
64,65536,18.2718,8.53723,7.6117
64,131072,19.7563,9.12096,7.76437
64,262144,20.7075,10.5568,8.25778
64,524288,19.7617,13.0463,9.24117
64,1048576,17.5186,19.0124,11.3731
64,2097152,23.0804,27.6439,14.9165
64,4194304,28.9037,26.9927,22.3596
64,8388608,35.3582,33.1793,37.3493
64,16777216,58.7252,61.0863,67.1773
128,64,10.3917,5.74227,4.64366
128,128,10.8481,5.10288,4.66092
128,256,10.8586,5.08089,4.60925
128,512,10.6985,5.05028,4.63888
128,1024,10.6616,5.05108,4.64298
128,2048,10.6571,5.07019,4.74541
128,4096,10.6489,5.10458,4.79822
128,8192,10.6769,5.12505,4.70817
128,16384,10.761,5.19122,4.72106
128,32768,10.9101,5.45354,4.93837
128,65536,11.457,5.85347,5.044
128,131072,12.2625,6.79869,5.39079
128,262144,13.3917,8.12533,5.85938
128,524288,111.373,77.9981,7.81441
128,1048576,16.8758,17.5085,9.56855
128,2097152,23.6232,24.4075,14.2686
128,4194304,33.8066,31.8334,35.1541
128,8388608,55.5336,58.9809,62.499
128,16777216,90.7932,109.548,118.416
256,64,3.28882,2.53799,2.38285
256,128,5.07273,4.99325,4.65186
256,256,5.41045,4.9981,4.65089
256,512,5.86601,5.02906,4.73547
256,1024,5.5867,5.00514,4.73227
256,2048,5.37323,5.09047,4.72946
256,4096,5.48779,5.12905,4.75287
256,8192,6.15689,5.20029,4.89298
256,16384,5.40657,5.4229,4.86683
256,32768,5.9725,5.78391,5.08615
256,65536,8.26328,6.73534,5.33901
256,131072,12.1864,8.12986,5.91158
256,262144,12.6466,13.0561,7.17436
256,524288,11.08,17.4563,9.36089
256,1048576,24.3646,24.7378,15.5583
256,2097152,45.5349,30.5408,29.7279
256,4194304,57.9435,60.2385,61.5512
256,8388608,90.5133,102.516,80.8854
256,16777216,221.3,206.737,172.224
512,64,3.61714,3.49901,4.80055
512,128,5.55548,5.03515,4.71125
512,256,6.14242,5.02891,4.72366
512,512,5.76061,4.9832,4.73592
512,1024,5.32925,5.04945,4.72771
512,2048,6.28161,5.06971,4.81554
512,4096,5.5191,5.1828,4.7922
512,8192,5.56691,5.41706,4.90142
512,16384,6.48089,5.80053,5.03351
512,32768,7.15533,6.58216,5.33643
512,65536,8.62971,8.33107,5.96619
512,131072,10.6638,8.92255,7.16769
512,262144,14.8248,17.9404,9.37122
512,524288,25.2108,25.3395,14.0155
512,1048576,28.4981,99.1825,103.742
512,2097152,61.6497,58.7497,44.0464
512,4194304,95.6204,105.934,81.3945
512,8388608,177.782,207.517,169.141
512,16777216,349.038,415.85,350.22
1024,64,3.48421,2.65322,4.48433
1024,128,10.5005,4.98403,4.68889
1024,256,10.4112,5.00386,4.70372
1024,512,10.3598,4.979,4.77795
1024,1024,10.3931,5.0213,4.69814
1024,2048,10.443,5.22198,4.82541
1024,4096,10.8202,5.30966,4.80252
1024,8192,11.0273,5.74568,4.9744
1024,16384,86.2695,53.9983,53.1432
1024,32768,9.09329,8.35375,5.79806
1024,65536,15.9023,17.7922,7.01069
1024,131072,16.4094,22.9875,9.74818
1024,262144,26.0168,23.8384,14.1235
1024,524288,28.6492,31.4582,31.3861
1024,1048576,81.4312,59.2367,81.5766
1024,2097152,97.4142,113.452,119.213
1024,4194304,184.825,216.997,174.086
1024,8388608,419.815,440.508,333.877
1024,16777216,717.241,841.269,657.56
2048,64,7.67035,5.44233,4.81148
2048,128,10.483,4.99126,4.71785
2048,256,10.3074,4.94279,4.72953
2048,512,10.2267,5.08266,4.61649
2048,1024,9.92441,5.11294,4.63767
2048,2048,10.4929,5.39809,4.76874
2048,4096,10.9271,5.85883,4.95867
2048,8192,11.7913,8.54744,5.27416
2048,16384,13.1868,9.12904,5.98135
2048,32768,16.1188,13.2898,7.43652
2048,65536,16.6435,20.7093,10.9646
2048,131072,24.5265,25.6625,18.9816
2048,262144,33.7713,44.6573,25.2724
2048,524288,58.3469,82.7306,49.9595
2048,1048576,107.273,136.827,122.365
2048,2097152,204.587,291.484,192.07
2048,4194304,425.413,571.676,382.972
2048,8388608,814.151,1059.27,742.457
2048,16777216,1557.34,2084.75,1518.84
4096,64,6.48663,2.83225,4.21843
4096,128,10.4404,4.91491,4.54493
4096,256,10.55,5.06691,4.46398
4096,512,10.45,5.15936,4.51596
4096,1024,10.4992,6.62178,5.1802
4096,2048,10.9831,6.00235,5.01612
4096,4096,11.5828,7.00505,5.31016
4096,8192,13.1725,9.04122,6.02845
4096,16384,15.9694,12.899,7.4484
4096,32768,16.212,20.4941,10.2162
4096,65536,23.83,36.0517,13.9514
4096,131072,34.2905,37.838,27.4566
4096,262144,57.232,64.7097,48.3406
4096,524288,96.4092,125.184,93.6754
4096,1048576,188.764,309.858,196.65
4096,2097152,369.801,489.331,381.38
4096,4194304,748.196,999.165,757.774
4096,8388608,1471.46,1964.39,1494.28
4096,16777216,2964.76,3929.82,3097.86
8192,64,7.84389,6.47338,5.42268
8192,128,10.4787,5.32899,5.00459
8192,256,10.6683,5.41197,4.80354
8192,512,10.2438,5.5789,4.86415
8192,1024,10.6165,6.09117,4.98105
8192,2048,11.3825,7.16247,5.31646
8192,4096,9.51609,9.20576,6.1084
8192,8192,10.6657,12.7741,7.36882
8192,16384,18.1212,21.2013,10.7558
8192,32768,26.5407,20.8727,15.5608
8192,65536,31.1986,35.8015,23.3422
8192,131072,52.2581,66.2798,56.2613
8192,262144,94.698,126.661,111.846
8192,524288,187.05,294.423,191.896
8192,1048576,367.919,556.378,354.433
8192,2097152,730.553,987.926,725.377
8192,4194304,1463.71,1968.62,1368.56
8192,8388608,2930.23,3990.91,2754.36
8192,16777216,5904.28,7858.14,5931.06
16384,64,5.4218,3.76577,5.43709
16384,128,10.4925,5.54691,5.02175
16384,256,10.4557,5.6662,4.9364
16384,512,10.7131,6.07749,5.02641
16384,1024,11.6678,7.08808,5.38848
16384,2048,13.7986,9.0155,6.14714
16384,4096,16.1998,13.4752,7.59684
16384,8192,17.709,20.4867,10.1626
16384,16384,23.9391,24.7151,15.0367
16384,32768,32.1005,40.0737,25.8846
16384,65536,53.3522,65.3382,48.418
16384,131072,106.944,126.846,91.8533
16384,262144,207.399,250.708,179.551
16384,524288,399.144,497.985,390.465
16384,1048576,738.683,989.559,679.304
16384,2097152,1601.21,1973.86,1506.71
16384,4194304,3188.99,3946.41,2883.32
16384,8388608,6555.99,7898.64,6060.78
16384,16777216,12774.6,15773.7,11594.1
32768,64,6.55501,3.72425,3.19971
32768,128,8.96022,6.06787,5.57072
32768,256,12.2036,6.07221,5.15258
32768,512,12.8724,7.3476,5.61203
32768,1024,14.62,9.15119,6.2837
32768,2048,16.3715,14.6348,7.5975
32768,4096,23.4987,26.2596,11.0128
32768,8192,25.0068,23.7038,15.849
32768,16384,33.7296,35.098,35.4648
32768,32768,53.478,63.4003,155.521
32768,65536,99.3186,120.785,115.97
32768,131072,194.959,243.02,184.318
32768,262144,383.056,505.905,373.715
32768,524288,822.543,1012.33,747.645
32768,1048576,1478.3,1929.11,1449.47
32768,2097152,2986.83,3832.5,3039.31
32768,4194304,6104.73,7526.31,5927.42
32768,8388608,12124.8,15014.4,11606.1
32768,16777216,24109.2,30157.9,23162.8
65536,64,6.39981,3.79673,3.30905
65536,128,9.00356,6.56591,5.62685
65536,256,14.0019,7.60064,6.15328
65536,512,15.2784,10.7537,6.81404
65536,1024,18.2399,13.9838,8.41704
65536,2048,10.6107,12.0314,9.37003
65536,4096,26.5214,26.7607,17.8217
65536,8192,35.676,40.4895,30.8308
65536,16384,59.0719,71.4427,55.2793
65536,32768,114.274,137.683,107.787
65536,65536,217.944,273.861,214.778
65536,131072,428.097,574.45,425.59
65536,262144,855.276,1086.28,856.24
65536,524288,1766.06,2207.29,1747.24
65536,1048576,3568.92,4404.6,3751.91
65536,2097152,7167,8777.23,7138.55
65536,4194304,13764.7,16797.4,13824.3
65536,8388608,27309.9,33550.8,27430.4
65536,16777216,54808.6,67090.9,54859.1
