Degree,Iteration,Implicit Time,No Vector Time,Intrinsic Time,Imntrinsic load time
8,2,9.57405,0.010046,0.010192,0.021184
8,4,0.011819,0.026995,0.0121901,0.011022
8,8,0.0125951,0.024608,0.012025,0.013294
8,16,0.0219301,0.011642,0.012782,0.010512
8,32,0.013038,0.025104,0.01317,0.013196
8,64,0.014672,0.020408,0.015644,0.014422
8,128,0.023687,0.027221,0.022029,0.0215421
8,256,0.06535,0.034315,0.033576,0.033167
8,512,0.071432,0.040467,0.045368,0.042092
8,1024,0.0794879,0.047422,0.052087,0.050747
8,2048,0.081905,0.060288,0.0621161,0.0626249
8,4096,0.092655,0.069154,0.081317,0.068125
8,8192,0.084132,0.071797,0.077689,0.0755169
8,16384,0.104809,0.087334,0.082981,0.088288
8,32768,0.130581,0.089294,0.094071,0.09596
8,65536,0.19886,0.093129,0.102141,0.097688
8,131072,0.377547,0.16513,0.165355,0.165069
8,262144,0.736796,0.268118,0.288469,0.334999
16,2,0.01307,0.026401,0.010633,0.010436
16,4,0.0122129,0.025499,0.011398,0.010794
16,8,0.010979,0.0198519,0.011941,0.011342
16,16,0.0196181,0.015421,0.010684,0.0117831
16,32,0.0131161,0.0221051,0.01311,0.012684
16,64,0.014951,0.029658,0.014838,0.015444
16,128,0.02105,0.023611,0.021522,0.022901
16,256,0.061066,0.032988,0.0302619,0.03269
16,512,0.079487,0.0394299,0.0408311,0.041532
16,1024,0.074973,0.0508269,0.052208,0.049502
16,2048,0.083868,0.05616,0.0593551,0.057058
16,4096,0.087393,0.0665561,0.066914,0.0693281
16,8192,0.097916,0.081581,0.087476,0.075873
16,16384,0.147942,0.114804,0.120751,0.119871
16,32768,0.245583,0.188758,0.197095,0.194743
16,65536,0.454437,0.327316,0.350746,0.337691
16,131072,0.845144,0.602294,0.650356,0.627757
16,262144,1.6721,1.15367,1.26843,1.21578
32,2,0.012865,0.014089,0.014147,0.015914
32,4,0.018214,0.0217489,0.01312,0.021807
32,8,0.016154,0.028993,0.01513,0.0163359
32,16,0.012747,0.030263,0.015661,0.014008
32,32,0.029196,0.037486,0.015777,0.016251
32,64,0.023507,0.029403,0.018107,0.018679
32,128,0.0326299,0.0330021,0.0226531,0.0212621
32,256,0.0449229,0.04227,0.033635,0.03156
32,512,0.068281,0.045083,0.045997,0.04382
32,1024,0.0840331,0.052724,0.051883,0.049871
32,2048,0.096723,0.0616739,0.060149,0.0630989
32,4096,0.095682,0.071995,0.0680399,0.072966
32,8192,0.10733,0.077951,0.0799889,0.080057
32,16384,0.113918,0.086035,0.089638,0.090096
32,32768,0.138265,0.095333,0.0993429,0.096564
32,65536,0.167022,0.110382,0.119521,0.119057
32,131072,0.225416,0.147259,0.156911,0.152993
32,262144,0.324055,0.21176,0.229771,0.229857
64,2,0.022732,0.010252,0.0159479,0.01686
64,4,0.014807,0.022678,0.0134381,0.014752
64,8,0.0114181,0.019077,0.011138,0.011756
64,16,0.022551,0.039067,0.013351,0.016383
64,32,0.029011,0.046532,0.014954,0.0159341
64,64,0.032972,0.0343501,0.017723,0.017507
64,128,0.031077,0.0321769,0.0277569,0.022167
64,256,0.048506,0.0408741,0.034227,0.033437
64,512,0.0683,0.041655,0.043169,0.0422049
64,1024,0.071296,0.049681,0.054411,0.053398
64,2048,0.084514,0.059319,0.062186,0.058252
64,4096,0.094335,0.068624,0.072513,0.0645531
64,8192,0.099177,0.072377,0.0764541,0.079304
64,16384,0.11491,0.0812581,0.0891611,0.084779
64,32768,0.142829,0.0990971,0.113115,0.109825
64,65536,0.190829,0.132678,0.13933,0.144888
64,131072,0.278914,0.199138,0.211941,0.208635
64,262144,0.438316,0.316152,0.349371,0.340314
128,2,0.014035,0.031479,0.017087,0.015643
128,4,0.01345,0.027183,0.0128069,0.015507
128,8,0.012199,0.030042,0.017212,0.014073
128,16,0.0142031,0.02838,0.0148621,0.012115
128,32,0.028888,0.027235,0.016113,0.0168181
128,64,0.03247,0.0269639,0.018438,0.017958
128,128,0.039928,0.0307789,0.026279,0.022409
128,256,0.068024,0.034397,0.0328,0.0325061
128,512,0.052907,0.046967,0.045732,0.044103
128,1024,0.076126,0.052379,0.054024,0.048295
128,2048,0.09374,0.055957,0.060943,0.0585139
128,4096,0.107213,0.0675831,0.068087,0.065196
128,8192,0.143744,0.074698,0.084011,0.076193
128,16384,0.148686,0.095161,0.101489,0.09945
128,32768,0.166415,0.128582,0.135804,0.130764
128,65536,0.228578,0.182077,0.206592,0.197429
128,131072,0.386468,0.300341,0.344829,0.320677
128,262144,0.857051,0.75364,0.86157,0.803179
256,2,0.219959,0.220239,0.21873,0.218203
256,4,0.048519,0.013101,0.013463,0.021413
