Degree,Iteration,Implicit Time,No Vector Time,Intrinsic Time,Imntrinsic load time
8,2,3.56889,0.00675196,0.00572097,0.00460199
8,4,0.00527497,0.00546797,0.00498502,0.00501195
8,8,0.014516,0.023292,0.00478198,0.00513597
8,16,0.014914,0.029278,0.005542,0.00491997
8,32,0.00792594,0.00708194,0.00749599,0.00725501
8,64,0.011234,0.017677,0.00969995,0.00913498
8,128,0.013685,0.015696,0.012098,0.01088
8,256,0.017893,0.026043,0.013911,0.013204
8,512,0.0365339,0.014615,0.014598,0.015058
8,1024,0.034781,0.026919,0.0164291,0.017494
8,2048,0.032279,0.016766,0.0194621,0.020045
8,4096,0.030884,0.021142,0.021671,0.021966
8,8192,0.0616179,0.023761,0.0224531,0.024291
8,16384,0.091647,0.0293051,0.028358,0.03254
8,32768,0.142365,0.0357749,0.037464,0.045804
8,65536,0.260454,0.052772,0.055682,0.0733061
8,131072,0.505772,0.086413,0.088826,0.125963
8,262144,1.00249,0.154474,0.163456,0.230485
8,524288,1.96774,0.285728,0.304703,0.434974
16,2,0.00473405,0.023874,0.00449396,0.00482197
16,4,0.016278,0.00486298,0.00468096,0.00534796
16,8,0.004987,0.00514896,0.00497097,0.00539496
16,16,0.00563697,0.00518499,0.00514295,0.00520896
16,32,0.0163419,0.019888,0.00718597,0.00765005
16,64,0.00954105,0.0172871,0.00938695,0.00931498
16,128,0.0117451,0.016877,0.0102069,0.011303
16,256,0.013962,0.014174,0.013498,0.014342
16,512,0.039222,0.015054,0.015261,0.0156461
16,1024,0.035669,0.017491,0.019918,0.017694
16,2048,0.031946,0.023476,0.025546,0.024813
16,4096,0.048226,0.035637,0.038777,0.038352
16,8192,0.0746881,0.0599221,0.065062,0.060873
16,16384,0.12755,0.109465,0.127542,0.11805
16,32768,0.224933,0.21354,0.225407,0.220982
16,65536,0.430856,0.413233,0.432806,0.442301
16,131072,0.875584,0.799612,0.857732,0.853713
16,262144,1.72243,1.53533,1.69155,1.68654
16,524288,3.34891,2.96651,3.36464,3.39546
32,2,0.00536804,0.00504705,0.00509901,0.0048
32,4,0.0138931,0.019038,0.00549295,0.00509498
32,8,0.00524501,0.00455799,0.00516798,0.00462099
32,16,0.005541,0.00560504,0.00589895,0.00563003
32,32,0.00788197,0.00702196,0.00657496,0.00670899
32,64,0.017845,0.029862,0.00862095,0.009086
32,128,0.012503,0.014968,0.011253,0.011209
32,256,0.013998,0.013143,0.0128761,0.013613
32,512,0.047854,0.023016,0.015284,0.0163359
32,1024,0.027289,0.019324,0.025833,0.018317
32,2048,0.0319539,0.019131,0.020066,0.020834
32,4096,0.041365,0.025403,0.023305,0.025158
32,8192,0.0637509,0.032204,0.0328011,0.034424
32,16384,0.077085,0.054066,0.051762,0.050469
32,32768,0.111075,0.086078,0.086797,0.087556
32,65536,0.186428,0.145605,0.156314,0.156852
32,131072,0.315033,0.272426,0.291538,0.294697
32,262144,0.885937,0.530579,0.597852,0.572683
32,524288,1.15291,1.05209,1.16144,1.13095
64,2,0.01361,0.01688,0.00475198,0.00493605
64,4,0.00527499,0.00455401,0.00511502,0.004533
64,8,0.00509198,0.005265,0.00460803,0.00556398
64,16,0.014244,0.019182,0.00549395,0.00603601
64,32,0.01689,0.0274841,0.00756394,0.016678
64,64,0.00983099,0.018682,0.00935001,0.00886497
64,128,0.012865,0.0151591,0.011034,0.011572
64,256,0.016288,0.026505,0.01464,0.012619
64,512,0.018432,0.019991,0.0161629,0.015633
64,1024,0.030319,0.022448,0.018125,0.017656
64,2048,0.0495611,0.022163,0.0229621,0.0225869
64,4096,0.058413,0.031443,0.031832,0.034036
